MID Data C:\ESCO\Data\SIM\HMK\20260415\20260415_GZ_1423_4_7days_SIM_A.mfd
April 15 2026 13:38:39

Sample Weight : 248 mg

Normalization : per 100 mg (Sample weight : 248 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
46,143.545,149.1,50.1,14.115,9.7949E-008,7.57364E-005,4.69375E-012,2.68705E-014,6.35132E-013,4.16521E-012,1.01343E-011,1.93187E-013,6.05283E-015,4.41716E-013,0,2.2684E-014,2.66571E-013,4.30749E-015
47,146.668,152.2,50.6,14.260,1.00635E-007,7.54463E-005,5.55413E-012,6.69186E-014,7.07742E-013,4.26528E-012,1.11072E-011,2.94693E-013,1.14331E-014,3.78048E-013,2.91006E-014,7.70043E-015,5.21051E-013,4.1394E-014
48,149.790,155.4,51.1,14.320,1.03395E-007,7.53016E-005,5.85579E-012,5.86007E-014,7.77921E-013,4.79145E-012,1.19955E-011,1.90891E-013,1.54885E-014,4.95993E-013,1.27991E-014,8.3815E-015,4.36249E-013,-8.25119E-015
49,152.913,158.5,51.6,14.440,1.06783E-007,7.51573E-005,7.25634E-012,6.51477E-014,8.10634E-013,5.09397E-012,1.28693E-011,1.65508E-013,5.43289E-014,3.87747E-013,1.08886E-014,2.56914E-015,4.64853E-013,1.88341E-015
50,156.036,161.6,52.0,14.580,1.10281E-007,7.50132E-005,9.26002E-012,4.65292E-014,9.45353E-013,5.65256E-012,1.38488E-011,1.70202E-013,8.11621E-015,4.67078E-013,1.37393E-014,1.39705E-014,4.90553E-013,5.16411E-014
51,159.158,164.7,52.5,14.670,1.13959E-007,7.48695E-005,1.0408E-011,1.00244E-013,9.10465E-013,6.13062E-012,1.48708E-011,1.70356E-013,5.19172E-014,3.58672E-013,2.43416E-014,9.37208E-015,5.39011E-013,2.43882E-015
52,162.281,167.9,53.0,14.805,1.1844E-007,7.47259E-005,1.21005E-011,9.695E-014,1.1279E-012,6.4156E-012,1.63249E-011,4.62282E-014,4.64485E-014,5.14972E-013,8.88649E-015,2.18827E-015,6.46175E-013,4.37746E-014
53,165.403,170.9,53.4,14.805,1.23381E-007,7.45827E-005,1.43007E-011,9.17148E-014,1.07808E-012,7.03503E-012,1.73726E-011,2.28043E-013,3.30753E-014,6.59616E-013,2.04181E-014,2.26661E-014,7.6508E-013,2.57496E-014
54,168.526,174.1,53.9,14.970,1.28529E-007,7.44397E-005,1.64183E-011,9.09849E-014,1.21709E-012,7.53633E-012,1.9182E-011,3.12939E-013,5.28163E-014,5.34481E-013,2.44402E-014,1.29845E-014,1.04513E-012,2.43804E-015
55,171.649,177.3,54.4,15.050,1.3251E-007,7.4297E-005,1.91159E-011,5.24393E-014,1.47615E-012,8.00895E-012,2.00929E-011,1.76255E-013,3.81391E-014,5.89984E-013,4.52539E-014,1.05573E-015,9.48145E-013,8.34504E-015
