MID Data C:\ESCO\Data\SIM\HMK\20260409\20260409_GZ_1423_3_24h_SIM_A.mfd
April 09 2026 13:27:42

Sample Weight : 264.7 mg

Normalization : per 100 mg (Sample weight : 264.7 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
40,124.847,128.3,44.6,13.450,9.48965E-008,5.94706E-005,5.01283E-012,4.26946E-014,6.75816E-013,3.24205E-012,7.46253E-012,3.4845E-014,3.01586E-014,1.60503E-013,1.93371E-014,2.42696E-014,2.62786E-013,6.46967E-014
41,127.970,131.4,45.0,13.545,9.69951E-008,5.93566E-005,5.78096E-012,6.98597E-014,6.55256E-013,3.72848E-012,7.46416E-012,2.10352E-013,2.35254E-014,2.70792E-013,2.50233E-014,-5.63753E-015,2.65238E-013,6.69803E-014
42,131.092,134.7,45.5,13.600,9.95405E-008,5.91293E-005,6.97856E-012,5.7118E-014,7.96337E-013,3.98749E-012,8.54658E-012,2.38446E-013,2.77269E-014,2.15828E-013,1.8199E-014,1.67142E-014,2.35299E-013,6.5071E-014
43,134.215,137.8,45.9,13.725,1.02153E-007,5.91293E-005,6.77761E-012,2.64732E-014,8.38705E-013,4.26202E-012,9.91636E-012,1.47135E-013,9.82079E-015,2.60947E-013,2.95467E-014,9.24447E-015,2.42253E-013,5.75897E-014
44,137.337,141.0,46.4,13.760,1.05317E-007,5.90159E-005,7.84182E-012,6.63559E-014,7.78588E-013,4.65961E-012,1.08888E-011,1.98846E-013,1.73843E-014,2.07801E-013,4.20725E-015,2.73926E-014,2.52806E-013,3.16732E-014
45,140.460,144.1,46.8,13.900,1.08643E-007,5.89028E-005,9.7299E-012,5.2458E-014,7.00842E-013,5.10059E-012,1.13389E-011,5.05532E-014,2.58954E-014,4.25317E-013,-1.49663E-014,7.34325E-015,3.16424E-013,5.51725E-014
46,143.583,147.2,47.3,13.975,1.12396E-007,5.86772E-005,1.18374E-011,5.3027E-014,8.59222E-013,4.98476E-012,1.2702E-011,1.63517E-013,3.92984E-014,3.15253E-013,1.3794E-014,1.77062E-014,3.81533E-013,3.41333E-014
47,146.705,150.3,47.6,14.120,1.16413E-007,5.86772E-005,1.31547E-011,9.59121E-014,1.07559E-012,5.56678E-012,1.36151E-011,7.66545E-014,4.67471E-014,3.29276E-013,5.53796E-016,-1.89686E-015,3.47476E-013,7.47101E-014
48,149.828,153.3,48.1,14.250,1.21129E-007,5.84524E-005,1.43093E-011,7.0702E-014,1.11004E-012,6.56409E-012,1.47498E-011,1.80767E-013,2.74907E-014,2.72016E-013,2.37035E-014,-9.86513E-015,4.15947E-013,1.46807E-014
49,152.950,156.3,48.5,14.295,1.25965E-007,5.84524E-005,1.70757E-011,6.1241E-014,1.1974E-012,6.94321E-012,1.58229E-011,8.61931E-014,2.72886E-014,3.50862E-013,1.62556E-014,1.39357E-014,5.25055E-013,6.79432E-014
50,156.073,159.4,49.0,14.480,1.3175E-007,5.82285E-005,1.87729E-011,9.44898E-014,1.15943E-012,7.59061E-012,1.76862E-011,3.08627E-013,7.29048E-014,4.30991E-013,3.83711E-014,-1.87128E-014,6.02107E-013,4.11233E-014
51,159.196,162.5,49.5,14.605,1.37642E-007,5.82285E-005,2.18711E-011,9.57144E-014,1.27846E-012,8.20262E-012,1.91339E-011,1.72643E-013,5.48062E-014,4.65468E-013,1.90129E-014,2.3154E-014,6.21515E-013,2.71004E-014
52,162.318,165.5,50.0,14.695,1.44128E-007,5.80055E-005,2.40348E-011,9.37652E-014,1.55174E-012,8.6886E-012,2.05481E-011,3.03313E-013,6.30085E-014,5.38154E-013,3.11717E-014,-1.39546E-014,7.81779E-013,3.53841E-014
53,165.441,168.8,50.5,14.810,1.50574E-007,5.80055E-005,2.73908E-011,1.03815E-013,1.48338E-012,9.37105E-012,2.18162E-011,2.71766E-013,4.89165E-014,5.01583E-013,2.74943E-014,2.06656E-014,8.26193E-013,1.76546E-014
54,168.563,172.1,51.1,14.865,1.54614E-007,5.77833E-005,2.94992E-011,1.10143E-013,1.47987E-012,9.77725E-012,2.34556E-011,3.31681E-013,5.29784E-014,5.45169E-013,1.28572E-014,5.33592E-015,8.48403E-013,3.16071E-014
55,171.686,175.3,51.5,15.020,1.65196E-007,5.77833E-005,3.32661E-011,1.09181E-013,1.91366E-012,1.046E-011,2.60937E-011,2.23792E-013,6.84723E-014,5.02329E-013,4.54869E-014,3.01201E-014,1.26115E-012,4.67652E-014
56,174.809,178.4,52.0,15.065,1.68558E-007,5.7562E-005,3.63961E-011,1.29443E-013,1.85157E-012,1.14305E-011,2.65427E-011,2.68402E-013,7.18183E-014,7.37978E-013,4.05514E-014,2.73562E-014,1.31961E-012,2.95474E-014
57,177.931,181.4,52.5,15.225,1.81343E-007,5.7562E-005,3.80517E-011,1.59511E-013,1.95252E-012,1.17547E-011,2.79218E-011,2.10863E-013,5.10604E-014,7.07519E-013,3.05634E-014,4.16117E-014,1.36069E-012,2.04912E-014
58,181.054,184.5,53.0,15.370,1.90436E-007,5.73415E-005,4.2143E-011,1.87669E-013,2.00362E-012,1.23451E-011,3.0359E-011,4.03267E-013,5.44006E-014,6.70783E-013,4.57601E-014,4.60268E-014,1.46578E-012,6.91235E-014
59,184.176,187.6,53.5,15.405,1.96788E-007,5.73415E-005,4.51192E-011,1.0837E-013,1.96058E-012,1.32043E-011,3.13067E-011,3.01498E-013,8.37511E-014,8.5692E-013,4.92319E-014,3.58957E-014,1.71136E-012,2.40967E-014
60,187.299,190.8,54.1,15.520,2.0797E-007,5.72316E-005,4.82482E-011,2.44191E-013,2.3898E-012,1.38856E-011,3.24931E-011,1.94981E-013,6.40092E-014,1.00511E-012,8.09996E-014,5.00044E-014,2.08391E-012,5.66921E-014
